$KEY used	id	name	category	type	attribute	random_spawn	image	fang_item_id	level	hp	attack	defense	exp	thinking_type_id	move_type	sight_type	sight_type_num	skill_on_attack	speed	no_attack_twice	option	skill_prob	skill_option[]	skill_name[]	skill_code[]	skill_option[]	skill_name[]	skill_code[]	skill_option[]	skill_name[]	skill_code[]	soul_name[]	soul_cond[]	soul_code[]	soul_name[]	soul_cond[]	soul_code[]	soul_name[]	soul_cond[]	soul_code[]	promote_id	depromote_id	rare_id	animation_id	show_library	show_hitpoint_gauge	desc	spec	flavor	
〇	6	鳳凰	ジドリー系	monster		〇	639	6	3	150	70	30	1000	101	fly	normal		(direct_attack(), StrongMagic, [attack(100,attribute:normal_attack, hit_effect:StrongMagicHit)])	1																							5		4	○	○	飛行移動		私は鳳凰、霊験灼然な霊鳥(半人前)よ！\n私に救いを求めるとは良い覚悟ね、\n一族まとめて無病息災にしてあげる♪	
〇	7	パタコン	パタコン系	monster		〇	8	7	1	15	7	0	5	301	fly	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	2	〇																					8			8	○	○	ふらふら飛行移動\n倍速で行動する(攻撃は1回まで)	50%でターゲットに向かう\n隣接時は必ず攻撃を行う	キー！（あぶない！）\nキキー！（ぶつからないでね！）	
〇	8	あんこくパタコン	パタコン系	monster		〇	102	8	2	45	20	3	30	301	fly	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	2	〇																					9	7		8	○	○	ふらふら飛行移動\n倍速で行動する(攻撃は1回まで)	50%でターゲットに向かう\n隣接時は必ず攻撃を行う	キー！（ボクだって！）\nキキー！（戦えるぞ！）	
〇	9	ヴァンパイア	パタコン系	monster		〇	168	9	3	110	35	11	300	101	fly	normal		(direct_attack(), StrongMagic, [attack(100,attribute:normal_attack, hit_effect:StrongMagicHit)])	1			15		HPドレイン	(direct_attack(), SkillWaitFast, [nothing()])\n(self(),SwingWand,[nothing()])\n(direct_attack(), HpDrain, [sub_max_hp(10)])																10	8		4	○	○	飛行移動\n最大HPを吸収する(10)		魔族の紳士は常に優美であるべきだ。\n今宵はお前の血で祝うとしよう。	
〇	10	ハーデス	パタコン系	monster		〇	711	10	4	250	120	38	1500	101	fly	normal		(direct_attack(), ExtraMagic, [attack(100,attribute:normal_attack, hit_effect:ExtraMagicHit)])	1			15		HPドレイン	(direct_attack(), SkillWaitFast, [nothing()])\n(self(),SwingWand,[nothing()])\n(direct_attack(), HpDrain, [sub_max_hp(20)])																	9		4	○	○	飛行移動\n最大HPを吸収する(20)		昏き世界によく来たな、訪問者よ。\nこの安らぎの中で永遠を過ごすがよい。	
〇	11	ゴブリン	ゴブリン系	monster		〇	15	11	1	25	10	2	12	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1																						12			15	○	○	特殊能力なし		ダンジョン大好き！\n迷宮のことならオイラにまかせるゴブ。	
〇	12	武者ゴブリン	ゴブリン系	monster		〇	681	12	2	35	13	3	20	101	walk	normal		(direct_attack(), NormalSlash, [attack(100,attribute:normal_attack, hit_effect:NormalSlashHit)])	1																						13	11		15	○	○	特殊能力なし		合戦大好き！\n戦のことならオイラにまかせるゴブ。	
〇	13	トロール	ゴブリン系	monster		〇	49	13	3	90	35	10	250	101	walk	normal		(direct_attack(), StrongAttack, [attack(100,attribute:normal_attack, hit_effect:StrongAttackHit)])	1																							12		15	○	○	特殊能力なし		ウホ。ダンジョンで一番の怪力は\nオレ様だウホ。	
〇	14	アローエルフ	エルフ系	monster		〇	89	14	1	21	6	1	10	401	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1			75		NoMessage	(straight(10), SkillArrowA, [attack(150, attribute:arrow_attack)])																15			15	○	○	射線を合わせるように移動\n矢を放つ		森の平和を乱すものは、\nすべてこの弓で貫きます。	
〇	15	ダークエルフ	エルフ系	monster		〇	246	15	2	45	12	4	30	401	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1			75		NoMessage	(straight(10), SkillArrowA, [attack(150, attribute:arrow_attack)])																16	14		15	○	○	射線を合わせるように移動\n矢を放つ		ふふっ。その程度の実力で\n私の弓を避けられると思って？	
〇	16	女王エルフ	エルフ系	monster		〇	306	16	3	90	25	10	200	401	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1			75		NoMessage	(straight(10), SkillStrongArrowA, [attack(150, attribute:arrow_attack)])																17	15		15	○	○	射線を合わせるように移動\n矢を放つ		我らエルフは大地の民！\n空を裂く我が矢を受けてみよ！	
〇	17	聖帝エルフ	エルフ系	monster		〇	601	17	4	170	70	28	800	401	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1			75		NoMessage	(straight(10), SkillStrongArrowA, [attack(150, attribute:arrow_attack)])																	16		15	○	○	射線を合わせるように移動\n矢を放つ		黒百合は愛と呪いの花、災厄の象徴。\nふふふ……道ならぬ恋のため、\n万の軍勢を貫く私に相応しい花ですね。	
〇	18	ガーガン	ガーガン系	monster		〇	123	18	1	45	15	3	40	501	fly	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1			75		NoMessage	(straight(10), SkillArrowA, [attack(150, attribute:arrow_attack)])																19			4	○	○	射線を合わせるように逃げ飛行移動\n矢を放つ		なあに見てんだテメエ…\n射ちまうぞオウ?	
〇	19	スカイガーガン	ガーガン系	monster		〇	124	19	2	70	24	7	200	501	fly	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1			75		NoMessage	(straight(10), SkillArrowA, [attack(150, attribute:arrow_attack)])																184	18		4	○	○	射線を合わせるように逃げ飛行移動\n矢を放つ		このデケェ弓が見えないのか？\n…射ちまうぞオウ?	
〇	20	ビスマルク	ビスマルク系	monster		〇	214	20	2	80	16	8	100	401	walk	normal		(direct_attack(), StrongAttack, [attack(100,attribute:normal_attack, hit_effect:StrongAttackHit)])	1			75		NoMessage	(beam(10,pierce:true), none, [nothing()])\n(self(),BlowNormal,[nothing()])\n(straight(10,around:1), ThrowCannon, [attack(amount:20,hit_effect:Effect122_BigExplosion,attribute:[cannon_attack,explosion_attack, no_message])])																21			1	○	○	射線を合わせるように移動\n射線に隣接していると砲撃を放つ(20)		この大砲が火を噴く前に、\n俺の目の前から去りな。	
〇	21	デカマルク	ビスマルク系	monster		〇	214	21	3	120	25	12	400	401	walk	normal		(direct_attack(), StrongAttack, [attack(100,attribute:normal_attack, hit_effect:StrongAttackHit)])	1			75		NoMessage	(beam(10,pierce:true), none, [nothing()])\n(self(),BlowNormal,[nothing()])\n(straight(10,around:1), ThrowCannon, [attack(amount:30,hit_effect:Effect122_BigExplosion,attribute:[cannon_attack,explosion_attack, no_message])])																185	20		1	○	○	射線に隣接していると砲撃を放つ(30)		てやんでぃ、べらぼうめ！\n邪魔すると灰にするぞ！	
〇	22	ゴーレム	ゴーレム系	monster		〇	505	22	1	30	7	2	10	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1													NoMessage	on_after_die()	(self(), none, [drop_item(1,item_id:9101)])							23			15	○	○	やられると支援魔導器αに変身する		ケイコク！ケイコク！\nミカクニン生体ハンノウ確認\nチカヅクモノハ 排除シマス！	
〇	23	守護ゴーレム	ゴーレム系	monster		〇	690	23	2	80	18	6	50	101	walk	normal		(direct_attack(), StrongMagic, [attack(100,attribute:normal_attack, hit_effect:StrongMagicHit)])	1													NoMessage	on_after_die()	(self(), none, [drop_item(1,item_id:9101)])							24	22		15	○	○	やられると支援魔導器αに変身する		ボウエイしすてむ……キドウ……\nシンニュウシャヲハイジョシマス……。	
〇	24	古代ゴーレム	ゴーレム系	monster		〇	504	24	3	180	55	23	600	101	walk	normal		(direct_attack(), ViciousSlash, [attack(100,attribute:normal_attack, hit_effect:ViciousSlashHit)])	1													NoMessage	on_after_die()	(self(), none, [drop_item(2,item_id:9101)])								23		15	○	○	やられると支援魔導器αに変身する		しすてむ……ボウソウ……\nセンメツもーど……カイジョフノウ……	
〇	25	支援魔導器α	支援魔導器系	monster	no_jet_lag		507	25	1	5	10	0	5	701	fly	normal		(direct_attack(), NormalMagic, [attack(100,attribute:normal_attack, hit_effect:NormalMagicHit)])	1		(act_first: true)	100		NoMessage	(direct_attack(), SkillPossession,[promote(), wait_msec(200)])\n(self(), none, [die_myself(effect:SkillLight)])							NoMessage	with_damage_only_one()											4	○	○	飛行移動\nモンスターに乗り移り、進化させる		サーチ中……\nターゲットヲ捕捉シマシタ。\n支援ヲ開始シマス！	
〇	26	ロック	ロック系	monster	undead	〇	26	26	1	30	13	10	25	101	walk	normal		(direct_attack(), NormalSlash, [attack(100,attribute:normal_attack, hit_effect:NormalSlashHit)])	1																						27			15	○	○	特殊能力なし		おい、お前。\n俺の頭に何か刺さってねーか？	
〇	27	キャプテンロック	ロック系	monster	undead	〇	217	27	2	55	25	25	92	101	walk	normal		(direct_attack(), NormalSlash, [attack(100,attribute:normal_attack, hit_effect:NormalSlashHit)])	1																						28	26		15	○	○	特殊能力なし		選ばれしロックのみが\nキャプテンとなれる！\nなめてかかると痛い目見るぜ？	
〇	28	キョンシーロック	ロック系	monster	undead	〇	646	28	3	100	50	50	666	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1																							27		15	○	○	特殊能力なし		私の爪が、紅くて綺麗？…ありがとう。\nでも、私は好きじゃないかな……。\nだって、誰も抱きしめられないから。	
〇	29	ショミントン	トン系	monster		〇	22	29	1	50	14	3	25	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1																						30			15	○	○	特殊能力なし		遠くから金貨の臭いがする……。\n誰にも渡さないぞ。	
〇	30	ナリキントン	トン系	monster		〇	662	30	2	100	30	9	180	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1																						31	29		15	○	○	特殊能力なし		ああ、私から金貨の臭いが……。\nとってもしあわせなきぶん……。	
〇	31	キングストン	トン系	monster		〇	689	31	3	250	120	40	1200	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1																							30		15	○	○	特殊能力なし		全く、最近の若者は金の匂いに簡単に釣られ……むむ、これは金貨の薫り！\nうひょひょ、こりゃたまらんのぅ！	
〇	32	ばくだんガエル	カエル系	monster		〇	34	32	1	100	17	5	60	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1													爆発	on_after_die()	(self(), HitExplosionFrog, [nothing()])\n(around_any(2), BombBookB, [attack(amount:50,hit_effect:BombBookC,attribute:[rose_no_dead,explosion_attack,no_message])])	NoMessage	on_damage_over(0,70, opt: no_stop_damage)	(self(), none, [set_status(1,status:[frog_baloon])])				33			1	○	○	やられると周囲距離2を巻き込む大爆発(50)\nHPが30以下になるとプクプクしてしまう		ケロ（ボク）、\nケロケロ（危ないよ？）。	
〇	33	せんめつガエル	カエル系	monster		〇	245	33	2	200	30	8	200	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1													爆発	on_after_die()	(self(), HitExplosionFrog, [nothing()])\n(around_any(2), BombBookB, [attack(amount:100,hit_effect:BombBookC,attribute:[rose_no_dead,explosion_attack,no_message])])	NoMessage	on_damage_over(0,140, opt: no_stop_damage)	(self(), none, [set_status(1,status:[frog_baloon])])				34	32		1	○	○	やられると周囲距離2を巻き込む大爆発(100)\nHPが60以下になるとプクプクしてしまう		ケロケロ（爆発すると）、\nケロケーロ（ぜんぶ吹き飛んじゃうよ）	
〇	34	爆轟ガエル	カエル系	monster		〇	642	34	3	300	50	15	400	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1													爆発	on_after_die()	(self(), HitExplosionFrog, [nothing()])\n(around_any(2), BombBookB, [attack(amount:150,hit_effect:BombBookC,attribute:[rose_no_dead,explosion_attack,no_message])])	NoMessage	on_damage_over(0,210, opt: no_stop_damage)	(self(), none, [set_status(1,status:[frog_baloon])])					33		1	○	○	やられると周囲距離2を巻き込む大爆発(150)\nHPが90以下になるとプクプクしてしまう		ケロロ（汝）、\nケローロ？（我が爆風に\n耐えられるとでも？）	
〇	35	コケットリ	コケットリ系	monster	unclean	〇	21	35	1	35	10	2	25	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1		(skill_cooldown: 5)	50		毒魔法	(straight(2), SkillWaitFast, [nothing()])\n(straight(2), SkillPoisonA, [set_status(20,status:[poison])])																36			15	○	○	毒魔法を放つ		ニワトリだと！？\nこの俺をよくもコケに……\nコケ…コケ―！	
〇	36	王様コケットリ	コケットリ系	monster	unclean	〇	737	36	2	70	18	5	100	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1		(skill_cooldown: 5)	50		毒魔法	(straight(2), SkillWaitFast, [nothing()])\n(straight(2), SkillPoisonA, [set_status(20,status:[poison])])																37	35		15	○	○	毒魔法を放つ		我はキング。真の王者なり。\nなに？　ニワトリだと！？\nこの俺様をよくもコケに……！！	
〇	37	皇帝コケットリ	コケットリ系	monster	unclean	〇	649	37	3	120	38	12	600	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1		(skill_cooldown: 5)	50		毒魔法	(straight(2), SkillWaitFast, [nothing()])\n(straight(2), SkillPoisonA, [set_status(20,status:[poison])])																	36		15	○	○	毒魔法を放つ		我こそは至高の存在なり。\nなに？　ニワトリだと！？\n我をコケにしてただで済むと思うな！	
〇	38	デビルン	ジャバウォック系	monster		〇	232	38	1	25	7	1	10	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1																						39			15	○	○	特殊能力なし		もっといたずらしてやるぞ！\nみんなを困らせるほど、\n立派な悪魔になれるんだぃ！	
〇	39	ジャバウォック	ジャバウォック系	monster		〇	73	39	2	110	23	11	300	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])\n(self(),Stay)\n(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1																						40	38		15	○	○	2回攻撃を放つ		私は魔界では名の通った存在なのだ。\n私を扱えることを誇りに思いたまえ。	
〇	40	魔将ジャバウォック	ジャバウォック系	monster		〇	100	40	3	180	50	23	700	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])\n(self(),Stay)\n(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1																						41	39		15	○	○	2回攻撃を放つ		冥王に捧げし我が魂。\n我が身を焦がす憎悪の炎で、\nすべてを破壊し尽くすのみだ！	
〇	41	魔帝ジャバウォック	ジャバウォック系	monster		〇	135	41	4	300	90	43	1200	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])\n(self(),Stay)\n(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1																							40		15	○	○	2回攻撃を放つ		力こそがすべて…。\nすなわちただ敵を打ち砕くのみだ。	
〇	42	かけだし魔剣将	魔剣将系	monster		〇	231	42	2	90	34	8	250	101	walk	normal		(direct_attack(), NormalSlash, [attack(100,attribute:normal_attack, hit_effect:NormalSlashHit)])	1			33		双頭の蛇	(direct_attack(), SkillWaitFastDark, [nothing()])\n(self(),EnemySpecial, [nothing()])\n(direct_attack(), DarkBlowBackP, [blowback(5,hit_effect:HitBlowbackD),attack(50)])\n(direct_attack(), DarkThunderBig, [attack(200)])																43			15	○	○	ふきとばし攻撃後\n前方1マスに強力な追撃を行う		神を喰らう双頭の蛇（自称）\nこの剣で呪われた傷は\n永遠に癒えることはないぞ！（たぶん）	
〇	43	くろおび魔剣将	魔剣将系	monster		〇	221	43	3	140	70	18	600	101	walk	normal		(direct_attack(), NormalSlash, [attack(100,attribute:normal_attack, hit_effect:NormalSlashHit)])	1			33		双頭の蛇	(direct_attack(), SkillWaitFastDark, [nothing()])\n(self(),EnemySpecial, [nothing()])\n(direct_attack(), DarkBlowBackP, [blowback(5,hit_effect:HitBlowbackD),attack(50)])\n(direct_attack(), DarkThunderBig, [attack(200)])																44	42		15	○	○	ふきとばし攻撃後\n前方1マスに強力な追撃を行う		魔界の暗黒剣の冴えが見たいのか？\n愚かな好奇心だ。漆黒の斬撃で身も心も黒く染まるが良い！	
〇	44	かいでん魔剣将	魔剣将系	monster		〇	603	44	4	240	130	30	1200	101	walk	normal		(direct_attack(), NormalSlash, [attack(100,attribute:normal_attack, hit_effect:NormalSlashHit)])	1			33		双頭の蛇	(direct_attack(), SkillWaitFastDark, [nothing()])\n(self(),EnemySpecial, [nothing()])\n(direct_attack(), DarkBlowBackP, [blowback(5,hit_effect:HitBlowbackD),attack(50)])\n(direct_attack(), DarkThunderBig, [attack(200)])																	43		15	○	○	ふきとばし攻撃後\n前方1マスに強力な追撃を行う		フン、手加減容赦は一切できぬぞ。\n恨むなら、己の弱さを恨むことだな！	
〇	45	アツソード	ソード系	monster		〇	31	45	1	35	26	4	20	101	fly	normal		(direct_attack(), NormalSlash, [attack(100,attribute:normal_attack, hit_effect:NormalSlashHit)])	1																						46			4	○	○	飛行移動		貴様にそれがしを使いこなせるのかね？	
〇	46	激アツソード	ソード系	monster		〇	595	46	2	70	65	12	300	101	fly	normal		(direct_attack(), NormalSlash, [attack(100,attribute:normal_attack, hit_effect:NormalSlashHit)])	1																						49	45		4	○	○	飛行移動		ワシに切られれば呪われる！\n骨まで焼けて朽ち果てる！\n呪われし魔剣と斬り合う勇気はあるか？	
〇	47	ブラックガード	ガード系	monster		〇	244	47	1	5	15	0	20	101	fly	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1													NoMessage	with_damage_only_one()								48			4	○	○	飛行移動\n必ずダメージを1にする		がっはっは！\nワシが来たからには安心せい！\n守備に関してはな！	
〇	48	プレミアムガード	ガード系	monster		〇	600	48	2	7	32	0	300	101	fly	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1													NoMessage	with_damage_only_one()								49	47		4	○	○	飛行移動\n必ずダメージを1にする		この美しい身体が傷つくと困るのぅ。\n何ぃ、堅すぎて傷つきようがない！？\nがっはっは、それもそうじゃのぅ！	
〇	49	リビングメイル	ソードガード系	monster		〇	366	49	3	10	200	0	1000	101	fly	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1													NoMessage	with_damage_only_one()									48		4	○	○	飛行移動\n必ずダメージを1にする		こら、中を覗くんじゃない！\n色々な秘密が詰まっているんだから！	
〇	50	みならい戦乙女	戦乙女系	monster		〇	84	50	1	36	15	2	20	101	walk	normal		(direct_attack(), NormalSlash, [attack(100,attribute:normal_attack, hit_effect:NormalSlashHit)])	1																						51			15	○	○	特殊能力なし		手合わせを願おう。\n天上にお連れする資格を試します！	
〇	51	いっぱし戦乙女	戦乙女系	monster		〇	177	51	2	55	22	4	40	101	walk	normal		(direct_attack(), NormalSlash, [attack(100,attribute:normal_attack, hit_effect:NormalSlashHit)])	1																						52	50		15	○	○	特殊能力なし		我らが眷属となる資格が、\nあなたにはありますか？\n戦士としての資質を試しましょう。	
〇	52	戦乙女長	戦乙女系	monster		〇	265	52	3	110	60	12	400	101	walk	normal		(direct_attack(), NormalSlash, [attack(100,attribute:normal_attack, hit_effect:NormalSlashHit)])	1																						53	51		15	○	○	特殊能力なし		いい香りでしょう？\n私が戦場に赴くときに付ける香水よ。	
〇	53	ブリュンヒルデ	戦乙女系	monster		〇	175	53	4	200	140	30	1200	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1																						54	52		15	○	○	特殊能力なし		戦場とあれば是非もなし。\n我が槍に貫かれること、名誉と思え！	
〇	54	覚醒ブリュンヒルデ	戦乙女系	monster		〇	271	54	5	300	160	35	1500	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1																							53		15	○	○	特殊能力なし		もっと血を！もっと戦いを！\nもっと強者を我が前に差し出せ！	
〇	55	コケムッシュ	マッシュ系	monster	unclean	〇	18	55	1	27	8	1	25	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1		(skill_cooldown: 5)	25		睡眠魔法	(straight(2), SkillWaitFast, [nothing()])\n(straight(2), SkillSleepA, [set_status(4,status:[sleep])])																56			15	○	○	睡眠魔法を放つ		モキュ（仲間が増える）、\nモキュモキュ（きのこ生やしたい！）	
〇	56	臨海マタンゴ	マッシュ系	monster	unclean	〇	113	56	2	60	20	5	100	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1		(skill_cooldown: 5)	25		睡眠魔法	(straight(2), SkillWaitFast, [nothing()])\n(straight(2), SkillSleepA, [set_status(4,status:[sleep])])																57	55		15	○	○	睡眠魔法を放つ		モキュ？（カビってなに？）\nモキュキュ？（キノコ生やしたい！）	
〇	57	グレートトリュフ	マッシュ系	monster	unclean	〇	667	57	3	120	70	15	500	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1		(skill_cooldown: 5)	25		睡眠魔法	(straight(2), SkillWaitFast, [nothing()])\n(straight(2), SkillSleepA, [set_status(4,status:[sleep])])																	56		15	○	○	睡眠魔法を放つ		モギュ(この子らが怯えておる)、\nモギュモギュ(招かれざる旅人よ、森の怒りが下される前にこの場を立ち去れ)	
〇	58	バンシー	魔女系	monster		〇	165	58	1	60	21	5	90	101	walk	normal		(direct_attack(), NormalAttack, [attack(100,attribute:normal_attack, hit_effect:NormalAttackHit)])	1			20		呪いの声	(direct_attack(), SkillWaitFastWitch, [nothing()])\n(self(),EnemyAttack, [nothing()])\n(direct_attack(), WaveCurse, [CurseEquip(hit_effect:HitCursed)])																59			15	○	○	武器と盾を呪う		ぐすん。かなしくなんかないよ？\nちょっと帰り方が分からないだけ。	
〇	59	魔女	魔女系	monster		〇	559	59	2	90	35	10	400	101	walk	normal		(direct_attack(), StrongMagic, [attack(100,attribute:normal_attack, hit_effect:StrongMagicHit)])	1			20		呪いの声	(direct_attack(), SkillWaitFastWitch, [nothing()])\n(self(),EnemySpecial, [nothing()])\n(self(),EnemyAttack, [nothing()])\n(direct_attack(), WaveCurse, [CurseEquip(hit_effect:HitCursed)])																60	58		15	○	○	武器と盾を呪う		身体の奥から魔力があふれてくる……。\nなにかを成せとの啓示なのでしょうか。	
〇	60	カーミラ	魔女系	monster		〇	91	60	3	130	60	16	700	101	walk	normal		(direct_attack(), StrongMagic, [attack(100,attribute:normal_attack, hit_effect:StrongMagicHit)])	1			20		呪いの声	(direct_attack(), SkillWaitFastWitch, [nothing()])\n(self(),EnemyAttack, [nothing()])\n(direct_attack(), WaveCurse, [CurseEquip(hit_effect:HitCursed)])																61	59		15	○	○	武器と盾を呪う		こんな危険なところで何をしているの？\nべ、別にあなたのことを心配しているわけではありません！	
〇	61	氷の女帝カーミラ	魔女系	monster		〇	185	61	4	180	95	26	1200	101	walk	normal		(direct_attack(), ViciousMagic, [attack(100,attribute:normal_attack, hit_effect:ViciousMagicHit)])	1			20		呪いの声	(direct_attack(), SkillWaitFastWitch, [nothing()])\n(self(),EnemySpecial, [nothing()])\n(self(),EnemyAttack, [nothing()])\n(direct_attack(), WaveCurse, [CurseEquip(hit_effect:HitCursed)])																	60		15	○	○	武器と盾を呪う		生物を拒絶する絶対零度の氷の世界。\nこの美しさが分かるもののみ、\n我が愛撫にてコレクションに加えよう。	
